,case,name,d0,n0,repetition,nll_source,steps_fsp,fsp_source,seqlength,cwlen,iwlen,rankmax,ranknum,d1,n1,nll_learned,fsp_learned,kl_divergence,mse
41,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000000,2,2,4,8,4,5,5.070347987438348,"[4.38429909e-22 4.38429909e-22 4.38429909e-22 ... 4.38429909e-22
 4.38429909e-22 4.38429909e-22]",20.897096128388338,0.004675715974407494
42,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000,2,2,4,2,2,5,4.224051975737396,"[7.21601615e-21 7.21601615e-21 7.21601615e-21 ... 7.21601615e-21
 7.21601615e-21 7.21601615e-21]",17.54525529210606,0.002621231685290433
43,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000,2,2,4,2,3,5,4.430788728669453,"[2.57791457e-21 2.57791457e-21 2.57791457e-21 ... 2.57791457e-21
 2.57791457e-21 2.57791457e-21]",19.379473300161692,0.002490232412079419
44,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000,2,2,4,2,4,5,4.47659326394288,"[2.57565044e-21 2.57565044e-21 2.57565044e-21 ... 2.57565044e-21
 2.57565044e-21 2.57565044e-21]",20.51970645278053,0.0028132639985554426
45,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],3162,2,2,4,3,2,5,6.160926429389598,"[6.34224941e-26 6.34224941e-26 6.34224941e-26 ... 6.34224941e-26
 6.34224941e-26 6.34224941e-26]",26.023383879912107,0.003951564027522832
46,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],3162,2,2,4,3,3,5,5.681351729554462,"[7.88070889e-25 7.88070889e-25 7.88070889e-25 ... 7.88070889e-25
 7.88070889e-25 7.88070889e-25]",24.362348378482096,0.0030529647544256934
47,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],3162,2,2,4,3,4,5,4.922821155239178,"[1.00112495e-22 1.00112495e-22 1.00112495e-22 ... 1.00112495e-22
 1.00112495e-22 1.00112495e-22]",22.073031349408776,0.0027278237792638543
48,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],10000,2,2,4,4,2,5,2.4921812243594905,"[9.87938056e-21 9.87938056e-21 9.87938056e-21 ... 9.87938056e-21
 9.87938056e-21 9.87938056e-21]",2.107431125154215,0.0011174078326055333
49,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],10000,2,2,4,4,3,5,5.529610728864921,"[5.76241822e-26 5.76241822e-26 5.76241822e-26 ... 5.76241822e-26
 5.76241822e-26 5.76241822e-26]",24.10519528074963,0.003010295275808676
50,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],10000,2,2,4,4,4,5,4.4426941535944895,"[2.35382298e-21 2.35382298e-21 2.35382298e-21 ... 2.35382298e-21
 2.35382298e-21 2.35382298e-21]",17.01399873799549,0.0017343516263534297
51,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],31622,2,2,4,5,2,5,4.185618959312757,"[2.74350558e-22 2.74350558e-22 2.74350558e-22 ... 2.74350558e-22
 2.74350558e-22 2.74350558e-22]",12.66081613997091,0.0027513299583874734
