,case,name,d0,n0,repetition,nll_source,steps_fsp,fsp_source,seqlength,cwlen,iwlen,rankmax,d1,n1,nll_learned,fsp_learned,kl_divergence,nll_gmm,l2_gmm
1864,blended_gmm,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,10,2,4,2.606219683493623,"[2.46018156e-26 8.26317243e-24 2.24415836e-22 ... 7.94453838e-12
 2.95623791e-12 7.07172956e-13]",0.06605277769153364,1.6512949971691164,0.0002581016463896746
1865,blended_gmm,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,10,3,4,2.932131934139598,"[1.15034242e-25 3.86891388e-23 1.04821647e-21 ... 6.12840490e-12
 2.22683870e-12 5.32505091e-13]",0.10733406045452938,1.6512949971691164,0.0002581016463896746
1866,blended_gmm,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,10,4,4,2.0370836393191256,"[1.60776156e-21 1.60776156e-21 1.60776156e-21 ... 2.32740342e-11
 8.45255640e-12 2.02124866e-12]",19.941639159682577,1.6512949971691164,0.0002581016463896746
1867,blended_gmm,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,10,5,4,3.716192725724338,"[2.23297359e-26 7.50202375e-24 2.02929347e-22 ... 9.69627003e-21
 9.69627003e-21 9.69627003e-21]",1.6254009564817755,1.6512949971691164,0.0002581016463896746
1868,blended_gmm,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,10,6,4,4.696201930372347,"[3.79983855e-26 1.27807940e-23 3.44824147e-22 ... 9.37164751e-21
 9.37164751e-21 9.37164751e-21]",3.202119679462815,1.6512949971691164,0.0002581016463896746
1869,blended_gmm,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,10,7,4,4.6785807701688755,"[7.15531964e-26 2.40748434e-23 6.50195173e-22 ... 1.95634636e-12
 2.09328932e-12 5.05468853e-13]",3.564754734196406,1.6512949971691164,0.0002581016463896746
1870,blended_gmm,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,10,8,4,4.503521815688337,"[8.77107115e-26 2.95046427e-23 7.96897498e-22 ... 4.31628732e-12
 3.28405823e-12 7.91399131e-13]",4.454429337591742,1.6512949971691164,0.0002581016463896746
1871,blended_gmm,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,10,9,4,4.258877492287831,"[1.16024851e-25 3.90400875e-23 1.05381168e-21 ... 7.14536823e-11
 2.75356027e-11 6.59017407e-12]",19.60930224784388,1.6512949971691164,0.0002581016463896746
1872,blended_gmm,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,10,10,4,5.4405041139224,"[8.49001072e-22 8.49001072e-22 8.49001072e-22 ... 8.49001072e-22
 8.49001072e-22 8.49001072e-22]",20.3046461130053,1.6512949971691164,0.0002581016463896746
1873,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",1000000,2,2,9,2,5,2.313664157691719,"[2.61339896e-18 3.69933966e-17 9.09042600e-16 ... 8.36085796e-13
 2.25272651e-13 5.26604953e-14]",0.062046456100026404,,
1874,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",1000000,2,2,9,3,5,2.7588634344154634,"[2.36682258e-18 3.44134898e-17 8.77995289e-16 ... 7.93946244e-13
 2.13069230e-13 4.98060570e-14]",0.10537909438778287,,
1875,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",1000000,2,2,9,4,5,3.5572550004103505,"[2.25692558e-18 3.34308713e-17 8.74315948e-16 ... 7.53432419e-13
 2.02566559e-13 4.73464636e-14]",0.11707050358234385,,
1876,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",1000000,2,2,9,5,5,2.34541347375968,"[2.74573817e-18 3.86580776e-17 9.42704896e-16 ... 8.57669603e-13
 2.32224825e-13 5.42726479e-14]",0.059489719610483834,,
1877,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",1000000,2,2,9,6,5,3.252980912755013,"[2.02249142e-25 2.02249142e-25 2.02249142e-25 ... 2.02249142e-25
 2.02249142e-25 2.02249142e-25]",26.100711191121693,,
1878,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",1000000,2,2,9,7,5,3.8417418819909863,"[5.28738707e-21 5.28738707e-21 5.28738707e-21 ... 5.28738707e-21
 5.28738707e-21 5.28738707e-21]",16.733498513197453,,
