,source_alphabet_size,source_density,source_dimension,source_stationary_state,source_membership_functions,training_length,ci_words_length,target_dimension,nll_source,nll_learned
139,2,1.0,16,True,"get_beta, arg_sum=128",100000,2,4,2.547333772537634,2.547333772537634
140,2,1.0,16,True,"get_beta, arg_sum=128",100000,2,6,2.547333772537634,2.547333772537634
141,2,1.0,16,True,"get_beta, arg_sum=128",100000,2,8,2.547333772537634,2.547333772537634
142,2,1.0,16,True,"get_beta, arg_sum=128",100000,2,10,2.547333772537634,2.547333772537634
143,2,1.0,16,True,"get_beta, arg_sum=128",100000,2,12,2.547333772537634,2.547333772537634
144,2,1.0,16,True,"get_beta, arg_sum=128",100000,2,14,2.547333772537634,2.547333772537634
145,2,1.0,16,True,"get_beta, arg_sum=128",100000,2,16,2.547333772537634,2.547333772537634
146,2,1.0,16,True,"get_beta, arg_sum=128",100000,6,2,2.547333772537634,2.547333772537634
147,2,1.0,16,True,"get_beta, arg_sum=128",100000,6,4,2.547333772537634,2.547333772537634
148,2,1.0,16,True,"get_beta, arg_sum=128",100000,6,6,2.547333772537634,2.547333772537634
149,2,1.0,16,True,"get_beta, arg_sum=128",100000,6,8,2.547333772537634,2.547333772537634
150,2,1.0,16,True,"get_beta, arg_sum=128",100000,6,10,2.547333772537634,2.547333772537634
151,2,1.0,16,True,"get_beta, arg_sum=128",100000,6,12,2.547333772537634,nan
152,2,1.0,16,True,"get_beta, arg_sum=128",100000,6,14,2.547333772537634,nan
153,2,1.0,16,True,"get_beta, arg_sum=128",100000,6,16,2.547333772537634,nan
154,2,1.0,16,True,"get_beta, arg_sum=128",100000,10,2,2.547333772537634,2.547333772537634
155,2,1.0,16,True,"get_beta, arg_sum=128",100000,10,4,2.547333772537634,2.547333772537634
156,2,1.0,16,True,"get_beta, arg_sum=128",100000,10,6,2.547333772537634,2.547333772537634
157,2,1.0,16,True,"get_beta, arg_sum=128",100000,10,8,2.547333772537634,2.547333772537634
158,2,1.0,16,True,"get_beta, arg_sum=128",100000,10,10,2.547333772537634,2.547333772537634
159,2,1.0,16,True,"get_beta, arg_sum=128",100000,10,12,2.547333772537634,2.547333772537634
160,2,1.0,16,True,"get_beta, arg_sum=128",100000,10,14,2.547333772537634,2.547333772537634
161,2,1.0,16,True,"get_beta, arg_sum=128",100000,10,16,2.547333772537634,2.547333772537634
162,6,0.1,2,True,"get_beta, arg_sum=32",100000,2,2,2.7327596891343444,2.7327596891343444
163,6,0.1,2,True,"get_beta, arg_sum=128",100000,2,2,2.947924522554725,2.947924522554725
164,6,0.1,16,True,"get_beta, arg_sum=32",100000,2,2,2.703642508436987,2.703642508436987
165,6,0.1,16,True,"get_beta, arg_sum=32",100000,2,4,2.703642508436987,2.703642508436987
166,6,0.1,16,True,"get_beta, arg_sum=32",100000,2,6,2.703642508436987,2.703642508436987
167,6,0.1,16,True,"get_beta, arg_sum=32",100000,2,8,2.703642508436987,2.703642508436987
168,6,0.1,16,True,"get_beta, arg_sum=32",100000,2,10,2.703642508436987,2.703642508436987
169,6,0.1,16,True,"get_beta, arg_sum=32",100000,2,12,2.703642508436987,2.703642508436987
170,6,0.1,16,True,"get_beta, arg_sum=32",100000,2,14,2.703642508436987,2.703642508436987
171,6,0.1,16,True,"get_beta, arg_sum=32",100000,2,16,2.703642508436987,2.703642508436987
172,6,0.1,16,True,"get_beta, arg_sum=128",100000,2,2,2.9256657675125064,2.9256657675125064
173,6,0.1,16,True,"get_beta, arg_sum=128",100000,2,4,2.9256657675125064,2.9256657675125064
174,6,0.1,16,True,"get_beta, arg_sum=128",100000,2,6,2.9256657675125064,2.9256657675125064
