,case,name,d0,n0,repetition,nll_source,steps_fsp,seqlength,cwlen,iwlen,rankmax,ranknum,d1,n1,nll_learned,kl_divergence,mse,nll_gmm,l2_gmm,nll_diff
453,blended_known,S_5,10,5,0,2.748915577263517,5,10000,2,2,25,1,13,5,3.6758828861184383,8.911083011281363,7.258218096166234e-05,,,0.9269673088549211
454,blended_known,S_5,10,5,0,2.748915577263517,5,10000,2,2,25,1,14,5,3.677189944697612,6.64556530928135,5.3168717914735896e-05,,,0.9282743674340947
455,blended_gmm,S_5,10,5,0,2.748915577263517,5,10000,3,3,27,1,2,3,2.8375998445298816,0.2561671600535311,5.208514725984853e-05,1.9090758013257192,0.0016911596692516,0.08868426726636436
456,blended_gmm,S_5,10,5,0,2.748915577263517,5,10000,3,3,27,1,3,3,2.8424464777226657,0.2687601704140389,5.701148820652513e-05,1.9090758013257192,0.0016911596692516,0.09353090045914847
457,blended_gmm,S_5,10,5,0,2.748915577263517,5,10000,3,3,27,1,4,3,2.8420399444957662,0.2677142065619102,5.6644407221539673e-05,1.9090758013257192,0.0016911596692516,0.09312436723224904
458,blended_gmm,S_5,10,5,0,2.748915577263517,5,10000,3,3,27,1,5,3,4.4042175849274825,8.337636379427165,0.0001020288539746,1.9090758013257192,0.0016911596692516,1.6553020076639653
459,blended_gmm,S_5,10,5,0,2.748915577263517,5,10000,3,3,27,1,6,3,4.409826132849792,8.404228773402629,0.0001130141228351,1.9090758013257192,0.0016911596692516,1.660910555586275
460,blended_gmm,S_5,10,5,0,2.748915577263517,5,10000,3,3,27,1,7,3,4.537223557070504,2.73846802217047,7.107897640383422e-05,1.9090758013257192,0.0016911596692516,1.7883079798069872
461,blended_gmm,S_5,10,5,0,2.748915577263517,5,10000,3,3,27,1,8,3,4.000405487103319,18.087434874167364,0.0001719755779088,1.9090758013257192,0.0016911596692516,1.251489909839802
462,blended_gmm,S_5,10,5,0,2.748915577263517,5,10000,3,3,27,1,9,3,3.99934978299089,18.10550728681132,0.0001724681460603,1.9090758013257192,0.0016911596692516,1.2504342057273727
463,blended_gmm,S_5,10,5,0,2.748915577263517,5,10000,3,3,27,1,10,3,4.632807819854566,21.151691778180357,0.0004504019465333,1.9090758013257192,0.0016911596692516,1.883892242591049
464,blended_gmm,S_5,10,5,0,2.748915577263517,5,10000,3,3,27,1,11,3,4.897592196293068,14.855987841228837,0.0003994357847918,1.9090758013257192,0.0016911596692516,2.148676619029551
465,blended_gmm,S_5,10,5,0,2.748915577263517,5,10000,3,3,27,1,12,3,4.457364331540392,1.2204284482496504,0.0001007439496706,1.9090758013257192,0.0016911596692516,1.7084487542768745
466,blended_gmm,S_5,10,5,0,2.748915577263517,5,10000,3,3,27,1,13,3,4.447196198226692,1.2921740462185367,0.0001043176546013,1.9090758013257192,0.0016911596692516,1.6982806209631747
467,blended_gmm,S_5,10,5,0,2.748915577263517,5,10000,3,3,27,1,14,3,4.408018234455563,0.2650610924822695,6.133512374423053e-05,1.9090758013257192,0.0016911596692516,1.6591026571920455
468,blended_known,S_5,10,5,0,2.748915577263517,5,31622,2,2,25,1,2,5,5.111098115537831,20.733185805335516,0.0004220790420965,,,2.362182538274314
469,blended_known,S_5,10,5,0,2.748915577263517,5,31622,2,2,25,1,3,5,5.114030484135808,20.78038887370347,0.0004208345006121,,,2.365114906872291
470,blended_known,S_5,10,5,0,2.748915577263517,5,31622,2,2,25,1,4,5,2.8133659070412835,0.1555353605653343,2.6726189831176997e-05,,,0.06445032977776632
471,blended_known,S_5,10,5,0,2.748915577263517,5,31622,2,2,25,1,5,5,2.843264024375188,0.1538592634190745,2.6147926089871807e-05,,,0.0943484471116709
472,blended_known,S_5,10,5,0,2.748915577263517,5,31622,2,2,25,1,6,5,3.059578827097323,0.4487743191355665,2.5751179056972907e-05,,,0.310663249833806
473,blended_known,S_5,10,5,0,2.748915577263517,5,31622,2,2,25,1,7,5,2.924064029251136,0.3201579212196627,2.3204820818532196e-05,,,0.17514845198761897
474,blended_known,S_5,10,5,0,2.748915577263517,5,31622,2,2,25,1,8,5,3.572628932211371,15.310922468402543,0.0002802382455456,,,0.8237133549478539
475,blended_known,S_5,10,5,0,2.748915577263517,5,31622,2,2,25,1,9,5,3.502785339757633,19.629132537726427,0.0004023190676237,,,0.7538697624941157
476,blended_known,S_5,10,5,0,2.748915577263517,5,31622,2,2,25,1,10,5,3.775725769743053,19.561513307360727,0.0003622427486202,,,1.0268101924795356
477,blended_known,S_5,10,5,0,2.748915577263517,5,31622,2,2,25,1,11,5,3.683033922316699,1.577914258664766,4.424955272332137e-05,,,0.9341183450531818
478,blended_known,S_5,10,5,0,2.748915577263517,5,31622,2,2,25,1,12,5,3.7660076020981896,0.565293513729861,3.871711317634249e-05,,,1.0170920248346724
479,blended_known,S_5,10,5,0,2.748915577263517,5,31622,2,2,25,1,13,5,5.429720514690565,4.819136264500443,0.0001100273302556,,,2.680804937427048
480,blended_known,S_5,10,5,0,2.748915577263517,5,31622,2,2,25,1,14,5,5.468697289282404,4.864090390776775,0.0001109342468534,,,2.7197817120188867
481,blended_gmm,S_5,10,5,0,2.748915577263517,5,31622,2,2,36,1,2,6,3.353569601505636,1.409192252486673,0.0005315874572191,1.9261942727093853,0.0001029403739828,0.604654024242119
482,blended_gmm,S_5,10,5,0,2.748915577263517,5,31622,2,2,36,1,3,6,2.8549864939654186,0.4333022675878598,7.570803291309137e-05,1.9261942727093853,0.0001029403739828,0.10607091670190139
483,blended_gmm,S_5,10,5,0,2.748915577263517,5,31622,2,2,36,1,4,6,2.870356486686035,0.3245275418474552,0.0001876733130466,1.9261942727093853,0.0001029403739828,0.12144090942251795
484,blended_gmm,S_5,10,5,0,2.748915577263517,5,31622,2,2,36,1,5,6,2.870670609572622,0.325483677724945,0.0001882783644521,1.9261942727093853,0.0001029403739828,0.121755032309105
485,blended_gmm,S_5,10,5,0,2.748915577263517,5,31622,2,2,36,1,6,6,2.870428176599381,0.3245554212175163,0.0001874736887943,1.9261942727093853,0.0001029403739828,0.12151259933586367
486,blended_gmm,S_5,10,5,0,2.748915577263517,5,31622,2,2,36,1,7,6,3.469460817252026,0.3999040882896251,0.0001828572916715,1.9261942727093853,0.0001029403739828,0.7205452399885086
487,blended_gmm,S_5,10,5,0,2.748915577263517,5,31622,2,2,36,1,8,6,3.741657899521596,0.8483435865345519,0.0002158708825692,1.9261942727093853,0.0001029403739828,0.9927423222580787
488,blended_gmm,S_5,10,5,0,2.748915577263517,5,31622,2,2,36,1,9,6,3.2587822790966143,0.3698738452791353,0.0002241397351087,1.9261942727093853,0.0001029403739828,0.5098667018330971
489,blended_gmm,S_5,10,5,0,2.748915577263517,5,31622,2,2,36,1,10,6,3.2259434898548807,0.3689572362896208,0.0002262873012037,1.9261942727093853,0.0001029403739828,0.47702791259136346
490,blended_gmm,S_5,10,5,0,2.748915577263517,5,31622,2,2,36,1,11,6,3.7283058777290496,0.4787569977689657,0.0002422111916294,1.9261942727093853,0.0001029403739828,0.9793903004655324
491,blended_gmm,S_5,10,5,0,2.748915577263517,5,31622,2,2,36,1,12,6,3.825508003082888,0.5757526168973256,0.0002428291836338,1.9261942727093853,0.0001029403739828,1.0765924258193706
492,blended_gmm,S_5,10,5,0,2.748915577263517,5,31622,2,2,36,1,13,6,3.820115910883142,0.561258771945869,0.0002425970492327,1.9261942727093853,0.0001029403739828,1.071200333619625
493,blended_gmm,S_5,10,5,0,2.748915577263517,5,31622,2,2,36,1,14,6,4.408410724288033,7.66048740455857,0.0004274789111158,1.9261942727093853,0.0001029403739828,1.6594951470245158
494,blended_known,S_5,10,5,0,2.748915577263517,5,100000,2,2,25,1,2,5,3.067067142986762,8.010009048255593,9.101626347937902e-05,,,0.318151565723245
495,blended_known,S_5,10,5,0,2.748915577263517,5,100000,2,2,25,1,3,5,2.798126280987933,0.1326421103318866,2.1621984364938535e-05,,,0.049210703724415605
496,blended_known,S_5,10,5,0,2.748915577263517,5,100000,2,2,25,1,4,5,2.7922679360679084,0.1160690843581631,1.9738395285290204e-05,,,0.043352358804391145
497,blended_known,S_5,10,5,0,2.748915577263517,5,100000,2,2,25,1,5,5,2.7923723118351136,0.1138264834118559,1.974519482537328e-05,,,0.04345673457159638
498,blended_known,S_5,10,5,0,2.748915577263517,5,100000,2,2,25,1,6,5,2.881532205553601,0.2477287656939422,1.9755129444648847e-05,,,0.13261662829008358
499,blended_known,S_5,10,5,0,2.748915577263517,5,100000,2,2,25,1,7,5,3.356009468312525,7.883505537592834,0.0001740894945179,,,0.6070938910490078
500,blended_known,S_5,10,5,0,2.748915577263517,5,100000,2,2,25,1,8,5,3.504256046548585,1.5271496858955047,2.582586746164051e-05,,,0.7553404692850676
501,blended_known,S_5,10,5,0,2.748915577263517,5,100000,2,2,25,1,9,5,3.496178920154558,0.6383789084743862,1.8813294242180196e-05,,,0.7472633428910407
502,blended_known,S_5,10,5,0,2.748915577263517,5,100000,2,2,25,1,10,5,3.36018470972818,0.316427917103368,1.7247209374639414e-05,,,0.6112691324646629
503,blended_known,S_5,10,5,0,2.748915577263517,5,100000,2,2,25,1,11,5,3.3785071140863585,0.3752250415620475,1.717780283339857e-05,,,0.6295915368228413
504,blended_known,S_5,10,5,0,2.748915577263517,5,100000,2,2,25,1,12,5,3.687659943924383,8.759146547056273,8.262567777326942e-05,,,0.9387443666608659
505,blended_known,S_5,10,5,0,2.748915577263517,5,100000,2,2,25,1,13,5,3.7265196149207087,15.585252165269894,0.0001722148301449,,,0.9776040376571915
506,blended_known,S_5,10,5,0,2.748915577263517,5,100000,2,2,25,1,14,5,3.870626364350736,17.23350801634336,0.0002794211737015,,,1.1217107870872187
507,blended_gmm,S_5,10,5,0,2.748915577263517,5,100000,2,2,36,1,2,6,2.9072900474390595,0.4488207204341226,0.0005681530995651,1.9177146135047285,0.000106596855345,0.1583744701755423
