,source_alphabet_size,source_density,source_dimension,source_stationary_state,source_membership_functions,training_length,ci_words_length,target_dimension,nll_source,nll_learned
149,2,0.5,16,True,"get_beta, arg_sum=128",100000,10,4,-0.9993910246583374,-1.0005177285712672
150,2,0.5,16,True,"get_beta, arg_sum=128",100000,10,6,-0.9993910246583374,-1.0005004698721682
151,2,0.5,16,True,"get_beta, arg_sum=128",100000,10,8,-0.9993910246583374,-1.0004943683461727
152,2,0.5,16,True,"get_beta, arg_sum=128",100000,10,10,-0.9993910246583374,-1.3040203919925084
153,2,0.5,16,True,"get_beta, arg_sum=128",100000,10,12,-0.9993910246583374,-1.2472235431491734
154,2,0.5,16,True,"get_beta, arg_sum=128",100000,10,14,-0.9993910246583374,-1.5096691872270964
155,2,0.5,16,True,"get_beta, arg_sum=128",100000,10,16,-0.9993910246583374,-1.0670007722033696
156,2,1.0,2,True,"get_beta, arg_sum=32",100000,2,2,-0.897642925314457,-0.896564019243623
157,2,1.0,2,True,"get_beta, arg_sum=32",100000,6,2,-0.897642925314457,-0.8960575730365522
158,2,1.0,2,True,"get_beta, arg_sum=32",100000,10,2,-0.897642925314457,-0.8913891098637312
159,2,1.0,2,True,"get_beta, arg_sum=128",100000,2,2,-0.9934866482622551,-1.0192351442390382
160,2,1.0,2,True,"get_beta, arg_sum=128",100000,6,2,-0.9934866482622551,-1.0170517318775432
161,2,1.0,2,True,"get_beta, arg_sum=128",100000,10,2,-0.9934866482622551,-1.0159077148130946
162,2,1.0,8,True,"get_beta, arg_sum=32",100000,2,2,-0.9999149922371613,-0.9999248159196418
163,2,1.0,8,True,"get_beta, arg_sum=32",100000,2,4,-0.9999149922371613,-1.00024405505588
164,2,1.0,8,True,"get_beta, arg_sum=32",100000,2,6,-0.9999149922371613,-1.0002440550559166
165,2,1.0,8,True,"get_beta, arg_sum=32",100000,2,8,-0.9999149922371613,-1.000244055055877
166,2,1.0,8,True,"get_beta, arg_sum=32",100000,6,2,-0.9999149922371613,-0.9998879180801049
167,2,1.0,8,True,"get_beta, arg_sum=32",100000,6,4,-0.9999149922371613,-0.9998873774541227
168,2,1.0,8,True,"get_beta, arg_sum=32",100000,6,6,-0.9999149922371613,nan
169,2,1.0,8,True,"get_beta, arg_sum=32",100000,6,8,-0.9999149922371613,nan
170,2,1.0,8,True,"get_beta, arg_sum=32",100000,10,2,-0.9999149922371613,-1.0000719027754925
171,2,1.0,8,True,"get_beta, arg_sum=32",100000,10,4,-0.9999149922371613,-1.0000729276176918
172,2,1.0,8,True,"get_beta, arg_sum=32",100000,10,6,-0.9999149922371613,-1.0000747363909859
173,2,1.0,8,True,"get_beta, arg_sum=32",100000,10,8,-0.9999149922371613,-1.0000742633714137
174,2,1.0,8,True,"get_beta, arg_sum=128",100000,2,2,-0.9973911638470305,-1.6827931170505115
175,2,1.0,8,True,"get_beta, arg_sum=128",100000,2,4,-0.9973911638470305,-2.8268068118928826
176,2,1.0,8,True,"get_beta, arg_sum=128",100000,2,6,-0.9973911638470305,-2.8268068119205596
177,2,1.0,8,True,"get_beta, arg_sum=128",100000,2,8,-0.9973911638470305,-2.826806811907334
178,2,1.0,8,True,"get_beta, arg_sum=128",100000,6,2,-0.9973911638470305,-1.0083536315486772
179,2,1.0,8,True,"get_beta, arg_sum=128",100000,6,4,-0.9973911638470305,-3.110015805890124
180,2,1.0,8,True,"get_beta, arg_sum=128",100000,6,6,-0.9973911638470305,-4.165314082917265
181,2,1.0,8,True,"get_beta, arg_sum=128",100000,6,8,-0.9973911638470305,-2.664438664792005
182,2,1.0,8,True,"get_beta, arg_sum=128",100000,10,2,-0.9973911638470305,-1.009665483966217
183,2,1.0,8,True,"get_beta, arg_sum=128",100000,10,4,-0.9973911638470305,-1.0096548986374618
184,2,1.0,8,True,"get_beta, arg_sum=128",100000,10,6,-0.9973911638470305,-1.0096447757377365
185,2,1.0,8,True,"get_beta, arg_sum=128",100000,10,8,-0.9973911638470305,-1.009638966191954
186,2,1.0,16,True,"get_beta, arg_sum=32",100000,2,2,-0.9997420268666539,-0.9997505407116014
187,2,1.0,16,True,"get_beta, arg_sum=32",100000,2,4,-0.9997420268666539,-2.545583382201711
188,2,1.0,16,True,"get_beta, arg_sum=32",100000,2,6,-0.9997420268666539,-2.5455833815483238
189,2,1.0,16,True,"get_beta, arg_sum=32",100000,2,8,-0.9997420268666539,-2.545583384066184
190,2,1.0,16,True,"get_beta, arg_sum=32",100000,2,10,-0.9997420268666539,-2.5455833849344676
191,2,1.0,16,True,"get_beta, arg_sum=32",100000,2,12,-0.9997420268666539,-2.545583384405603
192,2,1.0,16,True,"get_beta, arg_sum=32",100000,2,14,-0.9997420268666539,-2.545583384885313
193,2,1.0,16,True,"get_beta, arg_sum=32",100000,2,16,-0.9997420268666539,-2.5455833839119406
194,2,1.0,16,True,"get_beta, arg_sum=32",100000,6,2,-0.9997420268666539,-0.9997374392926535
195,2,1.0,16,True,"get_beta, arg_sum=32",100000,6,4,-0.9997420268666539,nan
196,2,1.0,16,True,"get_beta, arg_sum=32",100000,6,6,-0.9997420268666539,nan
197,2,1.0,16,True,"get_beta, arg_sum=32",100000,6,8,-0.9997420268666539,nan
198,2,1.0,16,True,"get_beta, arg_sum=32",100000,6,10,-0.9997420268666539,nan
199,2,1.0,16,True,"get_beta, arg_sum=32",100000,6,12,-0.9997420268666539,-1.7424436567932338
200,2,1.0,16,True,"get_beta, arg_sum=32",100000,6,14,-0.9997420268666539,-1.1603588576616897
201,2,1.0,16,True,"get_beta, arg_sum=32",100000,6,16,-0.9997420268666539,nan
202,2,1.0,16,True,"get_beta, arg_sum=32",100000,10,2,-0.9997420268666539,-0.9997952322273548
203,2,1.0,16,True,"get_beta, arg_sum=32",100000,10,4,-0.9997420268666539,-0.999799157777125
204,2,1.0,16,True,"get_beta, arg_sum=32",100000,10,6,-0.9997420268666539,-0.9997964319975526
205,2,1.0,16,True,"get_beta, arg_sum=32",100000,10,8,-0.9997420268666539,-0.9997860941173374
206,2,1.0,16,True,"get_beta, arg_sum=32",100000,10,10,-0.9997420268666539,-0.9997848436152782
207,2,1.0,16,True,"get_beta, arg_sum=32",100000,10,12,-0.9997420268666539,-0.9997793708641425
