,source_alphabet_size,source_density,source_dimension,source_stationary_state,training_length,ci_words_length,target_dimension,nll_source,nll_learned
206,4,0.5,16,True,100000,2,12,-1.9978533463654091,-4.032977316468041
207,4,0.5,16,True,100000,2,14,-1.9978533463654091,-4.174060397511964
208,4,0.5,16,True,100000,2,16,-1.9978533463654091,-4.53504577315949
209,4,0.5,16,True,100000,4,2,-1.9978533463654091,-1.9982900309901732
210,4,0.5,16,True,100000,4,4,-1.9978533463654091,-1.9982732880401035
211,4,0.5,16,True,100000,4,6,-1.9978533463654091,-2.20012718052
212,4,0.5,16,True,100000,4,8,-1.9978533463654091,-2.3693333315441945
213,4,0.5,16,True,100000,4,10,-1.9978533463654091,-2.7720768692063924
214,4,0.5,16,True,100000,4,12,-1.9978533463654091,-2.6483401954395975
215,4,0.5,16,True,100000,4,14,-1.9978533463654091,-2.721371814866642
216,4,0.5,16,True,100000,4,16,-1.9978533463654091,-2.9699488506297747
217,4,0.5,16,True,100000,6,2,-1.9978533463654091,-2.0031815836826237
218,4,0.5,16,True,100000,6,4,-1.9978533463654091,-2.003159055476236
219,4,0.5,16,True,100000,6,6,-1.9978533463654091,-2.0031457197015676
220,4,0.5,16,True,100000,6,8,-1.9978533463654091,-2.0031393978564305
221,4,0.5,16,True,100000,6,10,-1.9978533463654091,-2.003140894013891
222,4,0.5,16,True,100000,6,12,-1.9978533463654091,-2.003144675317595
223,4,0.5,16,True,100000,6,14,-1.9978533463654091,-2.003110653879913
224,4,0.5,16,True,100000,6,16,-1.9978533463654091,-2.0031195589619397
225,4,1.0,2,True,100000,2,2,-1.9154953754826403,-1.9164563954429015
226,4,1.0,2,True,100000,4,2,-1.9154953754826403,-1.9233932458725649
227,4,1.0,2,True,100000,6,2,-1.9154953754826403,-1.9640723627975278
228,4,1.0,4,True,100000,2,2,-1.9863450986539386,-1.9865483329172684
229,4,1.0,4,True,100000,2,4,-1.9863450986539386,-1.9861892313808123
230,4,1.0,4,True,100000,4,2,-1.9863450986539386,-1.9875893786017371
231,4,1.0,4,True,100000,4,4,-1.9863450986539386,-1.9882056941949746
232,4,1.0,4,True,100000,6,2,-1.9863450986539386,-1.9984745103433976
233,4,1.0,4,True,100000,6,4,-1.9863450986539386,-2.1825573571433945
234,4,1.0,8,True,100000,2,2,-1.999051609443581,-1.9990581196034467
235,4,1.0,8,True,100000,2,4,-1.999051609443581,-3.4224198580046723
236,4,1.0,8,True,100000,2,6,-1.999051609443581,-3.5097996912360796
237,4,1.0,8,True,100000,2,8,-1.999051609443581,-3.7534974948748108
238,4,1.0,8,True,100000,4,2,-1.999051609443581,-2.004577054389759
239,4,1.0,8,True,100000,4,4,-1.999051609443581,-2.012563890303858
240,4,1.0,8,True,100000,4,6,-1.999051609443581,-1.9991606275903389
241,4,1.0,8,True,100000,4,8,-1.999051609443581,-1.99938073695055
242,4,1.0,8,True,100000,6,2,-1.999051609443581,-2.0044357189435322
243,4,1.0,8,True,100000,6,4,-1.999051609443581,-2.004423276652874
244,4,1.0,8,True,100000,6,6,-1.999051609443581,-2.004376114228735
245,4,1.0,8,True,100000,6,8,-1.999051609443581,-2.0043722928221945
246,4,1.0,16,True,100000,2,2,-1.999812681762,-1.9997646484084826
247,4,1.0,16,True,100000,2,4,-1.999812681762,-2.9561880096788684
248,4,1.0,16,True,100000,2,6,-1.999812681762,-3.3937414683931864
249,4,1.0,16,True,100000,2,8,-1.999812681762,-3.523845926646758
250,4,1.0,16,True,100000,2,10,-1.999812681762,-3.391516538752785
251,4,1.0,16,True,100000,2,12,-1.999812681762,-3.2681968824857233
252,4,1.0,16,True,100000,2,14,-1.999812681762,-3.2622978305060575
253,4,1.0,16,True,100000,2,16,-1.999812681762,-4.296961888738197
254,4,1.0,16,True,100000,4,2,-1.999812681762,-1.9998651797187355
255,4,1.0,16,True,100000,4,4,-1.999812681762,-1.9998544117177632
256,4,1.0,16,True,100000,4,6,-1.999812681762,-1.9998689577181983
257,4,1.0,16,True,100000,4,8,-1.999812681762,-1.9998538565384738
258,4,1.0,16,True,100000,4,10,-1.999812681762,-1.9998062647019061
259,4,1.0,16,True,100000,4,12,-1.999812681762,-1.999835715225097
260,4,1.0,16,True,100000,4,14,-1.999812681762,-1.9998248620775478
261,4,1.0,16,True,100000,4,16,-1.999812681762,-1.9998395004946152
262,4,1.0,16,True,100000,6,2,-1.999812681762,-2.003727922364001
263,4,1.0,16,True,100000,6,4,-1.999812681762,-2.0037155833630917
264,4,1.0,16,True,100000,6,6,-1.999812681762,-2.0037054766588223
265,4,1.0,16,True,100000,6,8,-1.999812681762,-2.0037066795387717
266,4,1.0,16,True,100000,6,10,-1.999812681762,-2.0037039200743694
267,4,1.0,16,True,100000,6,12,-1.999812681762,-2.003700997183729
268,4,1.0,16,True,100000,6,14,-1.999812681762,-2.0036857126640126
269,4,1.0,16,True,100000,6,16,-1.999812681762,-2.003679066036334
270,6,0.1,2,True,100000,2,2,-2.4132464364029027,-2.4143749331531743
271,6,0.1,2,True,100000,4,2,-2.4132464364029027,-2.4221179599057363
272,6,0.1,4,True,100000,2,2,-2.4327087743140714,-2.528561499434264
273,6,0.1,4,True,100000,2,4,-2.4327087743140714,-2.4493181436591738
274,6,0.1,4,True,100000,4,2,-2.4327087743140714,-2.532280306284444
275,6,0.1,4,True,100000,4,4,-2.4327087743140714,-2.4556033219201416
276,6,0.1,8,True,100000,2,2,-2.491588139590272,-2.5490191026569167
277,6,0.1,8,True,100000,2,4,-2.491588139590272,-2.546875796904587
278,6,0.1,8,True,100000,2,6,-2.491588139590272,-2.523106562359183
279,6,0.1,8,True,100000,2,8,-2.491588139590272,-2.6564216180800564
280,6,0.1,8,True,100000,4,2,-2.491588139590272,-2.594127531607794
281,6,0.1,8,True,100000,4,4,-2.491588139590272,-2.5490936123189027
282,6,0.1,8,True,100000,4,6,-2.491588139590272,-2.5276293399245833
283,6,0.1,8,True,100000,4,8,-2.491588139590272,-2.524772743369118
284,6,0.1,16,True,100000,2,2,-2.5560840786262715,-2.777580433150169
285,6,0.1,16,True,100000,2,4,-2.5560840786262715,-2.568165608132484
286,6,0.1,16,True,100000,2,6,-2.5560840786262715,-2.5670691684838562
287,6,0.1,16,True,100000,2,8,-2.5560840786262715,-2.589763769252116
288,6,0.1,16,True,100000,2,10,-2.5560840786262715,-2.6865989299989477
289,6,0.1,16,True,100000,2,12,-2.5560840786262715,-2.647411540486694
290,6,0.1,16,True,100000,2,14,-2.5560840786262715,-3.334390860781114
291,6,0.1,16,True,100000,2,16,-2.5560840786262715,-3.0780103174179403
292,6,0.1,16,True,100000,4,2,-2.5560840786262715,-2.578268825544124
293,6,0.1,16,True,100000,4,4,-2.5560840786262715,-2.577419553429677
294,6,0.1,16,True,100000,4,6,-2.5560840786262715,-2.5759667816669176
295,6,0.1,16,True,100000,4,8,-2.5560840786262715,-2.57546147872144
296,6,0.1,16,True,100000,4,10,-2.5560840786262715,-2.575210077969115
297,6,0.1,16,True,100000,4,12,-2.5560840786262715,-2.5748567706450616
298,6,0.1,16,True,100000,4,14,-2.5560840786262715,-2.5750779484744455
299,6,0.1,16,True,100000,4,16,-2.5560840786262715,-2.5744743552671667
300,6,0.5,2,True,100000,2,2,-2.4763844951302874,-2.4765230582788123
301,6,0.5,2,True,100000,4,2,-2.4763844951302874,-2.478676232633803
302,6,0.5,4,True,100000,2,2,-2.538038189404271,-2.550310764987711
303,6,0.5,4,True,100000,2,4,-2.538038189404271,-2.538009135370648
304,6,0.5,4,True,100000,4,2,-2.538038189404271,-2.5565485440619993
305,6,0.5,4,True,100000,4,4,-2.538038189404271,-2.552537017097708
306,6,0.5,8,True,100000,2,2,-2.5746482973824674,-2.575547025515986
307,6,0.5,8,True,100000,2,4,-2.5746482973824674,-2.5751210747020314
308,6,0.5,8,True,100000,2,6,-2.5746482973824674,-3.041918670705862
309,6,0.5,8,True,100000,2,8,-2.5746482973824674,-2.905975436324047
310,6,0.5,8,True,100000,4,2,-2.5746482973824674,-2.5793784033221603
311,6,0.5,8,True,100000,4,4,-2.5746482973824674,-2.5793692223495936
312,6,0.5,8,True,100000,4,6,-2.5746482973824674,-2.6413648723689453
313,6,0.5,8,True,100000,4,8,-2.5746482973824674,-2.5793479494689797
314,6,0.5,16,True,100000,2,2,-2.5841210952960743,-2.5841820850000814
315,6,0.5,16,True,100000,2,4,-2.5841210952960743,-2.5843275493426647
316,6,0.5,16,True,100000,2,6,-2.5841210952960743,-2.5887809951221183
317,6,0.5,16,True,100000,2,8,-2.5841210952960743,-3.42501041399455
318,6,0.5,16,True,100000,2,10,-2.5841210952960743,-3.867789937421246
319,6,0.5,16,True,100000,2,12,-2.5841210952960743,-4.091262295645589
320,6,0.5,16,True,100000,2,14,-2.5841210952960743,-4.172354879606028
321,6,0.5,16,True,100000,2,16,-2.5841210952960743,-4.037583111225732
322,6,0.5,16,True,100000,4,2,-2.5841210952960743,-2.5848954460372244
323,6,0.5,16,True,100000,4,4,-2.5841210952960743,-2.584899112311541
324,6,0.5,16,True,100000,4,6,-2.5841210952960743,-2.5848946849711756
325,6,0.5,16,True,100000,4,8,-2.5841210952960743,-2.61226504273505
326,6,0.5,16,True,100000,4,10,-2.5841210952960743,-2.6502539761295387
327,6,0.5,16,True,100000,4,12,-2.5841210952960743,-2.5848979140007713
328,6,0.5,16,True,100000,4,14,-2.5841210952960743,-2.5848939674515616
329,6,0.5,16,True,100000,4,16,-2.5841210952960743,-2.5848956615212435
330,6,1.0,2,True,100000,2,2,-2.500020286264781,-2.5253647822876903
331,6,1.0,2,True,100000,4,2,-2.500020286264781,-2.7714480107316337
332,6,1.0,4,True,100000,2,2,-2.5723591260448004,-2.572364955413925
333,6,1.0,4,True,100000,2,4,-2.5723591260448004,-2.5723088522114512
334,6,1.0,4,True,100000,4,2,-2.5723591260448004,-2.575750697410407
335,6,1.0,4,True,100000,4,4,-2.5723591260448004,-2.693186857088409
336,6,1.0,8,True,100000,2,2,-2.582069704890598,-2.582128271142145
337,6,1.0,8,True,100000,2,4,-2.582069704890598,-2.5821236081142973
338,6,1.0,8,True,100000,2,6,-2.582069704890598,-3.069160611827692
339,6,1.0,8,True,100000,2,8,-2.582069704890598,-3.9152079769409616
340,6,1.0,8,True,100000,4,2,-2.582069704890598,-2.582953484493263
341,6,1.0,8,True,100000,4,4,-2.582069704890598,-2.5829090834916344
342,6,1.0,8,True,100000,4,6,-2.582069704890598,-2.5828911406506654
343,6,1.0,8,True,100000,4,8,-2.582069704890598,-2.5828715270353904
344,6,1.0,16,True,100000,2,2,-2.58448158712351,-2.5844163030207143
345,6,1.0,16,True,100000,2,4,-2.58448158712351,-2.584394732996855
346,6,1.0,16,True,100000,2,6,-2.58448158712351,-3.148046835899115
347,6,1.0,16,True,100000,2,8,-2.58448158712351,-3.7948609551071852
348,6,1.0,16,True,100000,2,10,-2.58448158712351,-4.072210870506124
349,6,1.0,16,True,100000,2,12,-2.58448158712351,-3.7769612705156383
350,6,1.0,16,True,100000,2,14,-2.58448158712351,-4.524549576783402
351,6,1.0,16,True,100000,2,16,-2.58448158712351,-4.0258793586541515
352,6,1.0,16,True,100000,4,2,-2.58448158712351,-2.5849178178112022
353,6,1.0,16,True,100000,4,4,-2.58448158712351,-2.584906473750374
354,6,1.0,16,True,100000,4,6,-2.58448158712351,-2.5849111959849402
355,6,1.0,16,True,100000,4,8,-2.58448158712351,-2.58489405064843
356,6,1.0,16,True,100000,4,10,-2.58448158712351,-2.5848903663314413
357,6,1.0,16,True,100000,4,12,-2.58448158712351,-2.5848885062087925
358,6,1.0,16,True,100000,4,14,-2.58448158712351,-2.5848917340472704
359,6,1.0,16,True,100000,4,16,-2.58448158712351,-2.5848798452832202
360,8,0.1,2,True,100000,2,2,-2.740980796661522,-2.748779754541981
