,source_alphabet_size,source_density,source_dimension,source_stationary_state,training_length,ci_words_length,nll_source,nll_learned
102,2,1.0,8,True,[100000],2,-0.9977856971240658,-3.3271600533323933
103,2,1.0,8,True,[100000],4,-0.9977856971240658,-0.9976967404155548
104,2,1.0,8,True,[100000],4,-0.9977856971240658,-0.9976917910826579
105,2,1.0,8,True,[100000],4,-0.9977856971240658,-2.7005276198144323
106,2,1.0,8,True,[100000],4,-0.9977856971240658,nan
107,2,1.0,8,True,[100000],6,-0.9977856971240658,-0.9976421887453762
108,2,1.0,8,True,[100000],6,-0.9977856971240658,nan
109,2,1.0,8,True,[100000],6,-0.9977856971240658,nan
110,2,1.0,8,True,[100000],6,-0.9977856971240658,nan
111,2,1.0,16,True,[100000],2,-0.998296826115722,-1.2525572623556498
112,2,1.0,16,True,[100000],2,-0.998296826115722,-4.079054352394321
113,2,1.0,16,True,[100000],2,-0.998296826115722,-4.079054352581877
114,2,1.0,16,True,[100000],2,-0.998296826115722,-4.079054352488744
115,2,1.0,16,True,[100000],2,-0.998296826115722,-4.0790543524806555
116,2,1.0,16,True,[100000],2,-0.998296826115722,-4.07905435236424
117,2,1.0,16,True,[100000],2,-0.998296826115722,-4.07905435245038
118,2,1.0,16,True,[100000],2,-0.998296826115722,-4.079054352590692
119,2,1.0,16,True,[100000],4,-0.998296826115722,-0.9982745082526977
120,2,1.0,16,True,[100000],4,-0.998296826115722,-0.9982763530049745
121,2,1.0,16,True,[100000],4,-0.998296826115722,-2.0017923603900067
122,2,1.0,16,True,[100000],4,-0.998296826115722,nan
123,2,1.0,16,True,[100000],4,-0.998296826115722,-3.2040730247078324
124,2,1.0,16,True,[100000],4,-0.998296826115722,nan
125,2,1.0,16,True,[100000],4,-0.998296826115722,-3.686271741779218
126,2,1.0,16,True,[100000],4,-0.998296826115722,nan
127,2,1.0,16,True,[100000],6,-0.998296826115722,-0.9983626013340785
128,2,1.0,16,True,[100000],6,-0.998296826115722,-0.9983488822768074
129,2,1.0,16,True,[100000],6,-0.998296826115722,-1.0240071259347556
130,2,1.0,16,True,[100000],6,-0.998296826115722,nan
131,2,1.0,16,True,[100000],6,-0.998296826115722,nan
132,2,1.0,16,True,[100000],6,-0.998296826115722,nan
133,2,1.0,16,True,[100000],6,-0.998296826115722,nan
134,2,1.0,16,True,[100000],6,-0.998296826115722,nan
135,4,0.1,2,True,[100000],2,-1.7628619204651734,-1.8061038082272614
136,4,0.1,2,True,[100000],4,-1.7628619204651734,-1.9068558349067601
137,4,0.1,2,True,[100000],6,-1.7628619204651734,-1.8021716215460482
138,4,0.1,4,True,[100000],2,-1.861522566567777,-1.9086836776203189
139,4,0.1,4,True,[100000],2,-1.861522566567777,-1.8627929652828104
140,4,0.1,4,True,[100000],4,-1.861522566567777,-1.9762377651358547
141,4,0.1,4,True,[100000],4,-1.861522566567777,-1.8682626710256993
142,4,0.1,4,True,[100000],6,-1.861522566567777,-1.9536711415454033
143,4,0.1,4,True,[100000],6,-1.861522566567777,-1.8821495689800607
144,4,0.1,8,True,[100000],2,-1.8761154546335845,-2.7731680978912374
145,4,0.1,8,True,[100000],2,-1.8761154546335845,-1.9237607217330974
146,4,0.1,8,True,[100000],2,-1.8761154546335845,-1.9661569509932786
147,4,0.1,8,True,[100000],2,-1.8761154546335845,-2.098766048469017
148,4,0.1,8,True,[100000],4,-1.8761154546335845,-1.9744849220141725
149,4,0.1,8,True,[100000],4,-1.8761154546335845,-1.932417380985368
150,4,0.1,8,True,[100000],4,-1.8761154546335845,-1.902519201540091
151,4,0.1,8,True,[100000],4,-1.8761154546335845,-2.006860167984927
152,4,0.1,8,True,[100000],6,-1.8761154546335845,-2.041928154285332
153,4,0.1,8,True,[100000],6,-1.8761154546335845,-1.9740350998107101
154,4,0.1,8,True,[100000],6,-1.8761154546335845,-2.057475742197174
155,4,0.1,8,True,[100000],6,-1.8761154546335845,-2.040743700370389
156,4,0.1,16,True,[100000],2,-1.9521084199160301,-2.044313441699147
157,4,0.1,16,True,[100000],2,-1.9521084199160301,-1.968690278181575
158,4,0.1,16,True,[100000],2,-1.9521084199160301,-1.9869049320197139
159,4,0.1,16,True,[100000],2,-1.9521084199160301,-1.9723441115770421
160,4,0.1,16,True,[100000],2,-1.9521084199160301,-2.0040259696472065
161,4,0.1,16,True,[100000],2,-1.9521084199160301,-3.635761116621254
162,4,0.1,16,True,[100000],2,-1.9521084199160301,-4.326129469742403
163,4,0.1,16,True,[100000],2,-1.9521084199160301,-4.528466680493792
164,4,0.1,16,True,[100000],4,-1.9521084199160301,-1.9742670586677302
165,4,0.1,16,True,[100000],4,-1.9521084199160301,-1.9676824576677738
166,4,0.1,16,True,[100000],4,-1.9521084199160301,-1.9635973732038658
167,4,0.1,16,True,[100000],4,-1.9521084199160301,-1.962918261592416
168,4,0.1,16,True,[100000],4,-1.9521084199160301,-1.9657444357291909
169,4,0.1,16,True,[100000],4,-1.9521084199160301,-1.9754913460389394
170,4,0.1,16,True,[100000],4,-1.9521084199160301,-1.969900405205889
171,4,0.1,16,True,[100000],4,-1.9521084199160301,-1.96492144228548
172,4,0.1,16,True,[100000],6,-1.9521084199160301,-1.9938518405138512
173,4,0.1,16,True,[100000],6,-1.9521084199160301,-1.9938928498461979
174,4,0.1,16,True,[100000],6,-1.9521084199160301,-1.9938066215473282
175,4,0.1,16,True,[100000],6,-1.9521084199160301,-2.6196869986355007
176,4,0.1,16,True,[100000],6,-1.9521084199160301,nan
